id,descripcion,cantidad,precio,categoria,color,talle,marca,genero,material
303,Sweaters Slim,141,10177.94,Sweaters,Negro,L,Puma,Mujer,Algodón
304,Sweaters Slim,154,1975.38,Sweaters,Blanco,S,Reebok,Hombre,Mezcla
305,Remeras Slim,19,17711.55,Remeras,Gris,M,Under Armour,Unisex,Cuero
306,Zapatillas Premium,196,5101.85,Zapatillas,Amarillo,XXL,Nike,Mujer,Mezcla
307,Sweaters Oversize,132,11758.37,Sweaters,Amarillo,M,Under Armour,Unisex,Poliéster
308,Pantalones Slim,40,18111.5,Pantalones,Verde,S,Nike,Mujer,Cuero
309,Buzos Premium,31,3604.53,Buzos,Amarillo,XXL,Under Armour,Hombre,Poliéster
310,Camisas Clásica,57,3822.66,Camisas,Azul,S,Adidas,Mujer,Mezcla
311,Remeras Clásica,58,13994.38,Remeras,Blanco,XXL,Nike,Mujer,Lana
312,Pantalones Slim,97,10140.72,Pantalones,Amarillo,S,Under Armour,Mujer,Lana
313,Pantalones Oversize,42,8636.32,Pantalones,Negro,M,Reebok,Unisex,Lana
314,Zapatillas Clásica,120,15987.43,Zapatillas,Blanco,L,Nike,Hombre,Algodón
315,Camisas Oversize,16,1020.23,Camisas,Blanco,M,Under Armour,Hombre,Cuero
316,Pantalones Premium,183,835.45,Pantalones,Azul,S,Fila,Hombre,Poliéster
317,Remeras Oversize,10,7088.03,Remeras,Amarillo,L,Fila,Unisex,Poliéster
318,Camisas Slim,176,4497.99,Camisas,Negro,S,Fila,Mujer,Lana
319,Sweaters Slim,145,17411.16,Sweaters,Rojo,XXL,Nike,Unisex,Poliéster
320,Sweaters Clásica,177,14280.85,Sweaters,Rojo,XL,Fila,Hombre,Algodón
321,Zapatillas Oversize,42,8406.23,Zapatillas,Negro,M,Fila,Mujer,Algodón
322,Buzos Premium,175,6324.61,Buzos,Gris,XXL,Puma,Mujer,Cuero
323,Zapatillas Oversize,113,6991.5,Zapatillas,Rojo,L,Nike,Unisex,Cuero
324,Buzos Premium,5,7895.02,Buzos,Blanco,S,Adidas,Unisex,Poliéster
325,Pantalones Slim,125,19540.94,Pantalones,Gris,S,Fila,Hombre,Poliéster
326,Sweaters Deportiva,32,6387.22,Sweaters,Blanco,L,Adidas,Hombre,Mezcla
327,Remeras Deportiva,64,16225.28,Remeras,Verde,L,Reebok,Unisex,Algodón
328,Camisas Slim,25,16705.75,Camisas,Blanco,XL,Puma,Mujer,Cuero
329,Pantalones Slim,81,14546.95,Pantalones,Azul,XXL,Under Armour,Unisex,Algodón
330,Camisas Clásica,64,1112.36,Camisas,Rojo,M,Puma,Mujer,Mezcla
331,Zapatillas Deportiva,130,15405.88,Zapatillas,Amarillo,XL,Puma,Hombre,Poliéster
332,Zapatillas Premium,161,19895.99,Zapatillas,Blanco,XXL,Puma,Mujer,Cuero
333,Pantalones Clásica,65,15291.04,Pantalones,Negro,S,Reebok,Hombre,Poliéster
334,Pantalones Deportiva,169,7501.05,Pantalones,Negro,S,Fila,Unisex,Algodón
335,Remeras Slim,111,4959.05,Remeras,Gris,M,Puma,Hombre,Mezcla
336,Buzos Clásica,100,6982.36,Buzos,Blanco,S,Fila,Mujer,Mezcla
337,Pantalones Deportiva,2,7021.43,Pantalones,Blanco,M,Under Armour,Unisex,Cuero
338,Sweaters Clásica,170,5683.87,Sweaters,Blanco,L,Fila,Hombre,Lana
339,Pantalones Clásica,64,11249.29,Pantalones,Gris,S,Reebok,Hombre,Algodón
340,Sweaters Deportiva,144,2626.08,Sweaters,Amarillo,L,Under Armour,Hombre,Cuero
341,Camisas Oversize,120,14265.33,Camisas,Rojo,XL,Adidas,Unisex,Lana
342,Sweaters Slim,106,2113.95,Sweaters,Negro,L,Reebok,Hombre,Algodón
343,Remeras Clásica,68,10544.95,Remeras,Blanco,XXL,Puma,Hombre,Poliéster
344,Sweaters Oversize,92,1291.62,Sweaters,Rojo,S,Adidas,Hombre,Poliéster
345,Remeras Oversize,124,14452.47,Remeras,Amarillo,M,Under Armour,Mujer,Mezcla
346,Sweaters Deportiva,56,19902.25,Sweaters,Rojo,M,Adidas,Mujer,Lana
347,Buzos Oversize,24,13147.45,Buzos,Blanco,XXL,Adidas,Unisex,Mezcla
348,Pantalones Premium,106,16457.31,Pantalones,Gris,XXL,Nike,Hombre,Lana
349,Pantalones Premium,183,1524.33,Pantalones,Negro,M,Adidas,Unisex,Lana
350,Buzos Premium,57,13798.0,Buzos,Azul,XXL,Puma,Unisex,Algodón
351,Camisas Slim,134,16912.24,Camisas,Negro,XXL,Under Armour,Hombre,Lana
352,Camisas Deportiva,142,9172.53,Camisas,Verde,L,Nike,Hombre,Mezcla
353,Zapatillas Premium,151,1096.03,Zapatillas,Amarillo,XL,Puma,Hombre,Mezcla
354,Sweaters Deportiva,19,17064.57,Sweaters,Rojo,XXL,Reebok,Mujer,Mezcla
355,Remeras Slim,154,1007.5,Remeras,Negro,XXL,Under Armour,Hombre,Mezcla
356,Remeras Clásica,114,5915.27,Remeras,Amarillo,S,Nike,Hombre,Poliéster
357,Sweaters Deportiva,110,4630.57,Sweaters,Blanco,M,Adidas,Hombre,Poliéster
358,Buzos Premium,123,19955.86,Buzos,Azul,XXL,Fila,Unisex,Lana
359,Zapatillas Oversize,166,17815.54,Zapatillas,Azul,XL,Puma,Unisex,Cuero
360,Camisas Slim,145,1951.39,Camisas,Azul,XXL,Puma,Unisex,Poliéster
361,Sweaters Premium,117,14630.45,Sweaters,Verde,L,Nike,Unisex,Mezcla
362,Sweaters Oversize,168,6798.9,Sweaters,Rojo,M,Reebok,Unisex,Lana
363,Camisas Slim,185,11566.7,Camisas,Rojo,M,Nike,Unisex,Cuero
364,Camisas Slim,144,11491.6,Camisas,Verde,L,Reebok,Hombre,Algodón
365,Pantalones Slim,168,6350.54,Pantalones,Azul,L,Puma,Unisex,Lana
366,Remeras Deportiva,37,4755.43,Remeras,Amarillo,XXL,Puma,Unisex,Cuero
367,Zapatillas Slim,88,2737.1,Zapatillas,Verde,XL,Puma,Mujer,Algodón
368,Sweaters Slim,22,3475.08,Sweaters,Negro,S,Nike,Mujer,Lana
369,Remeras Slim,36,10596.36,Remeras,Blanco,L,Puma,Hombre,Lana
370,Sweaters Premium,160,11639.93,Sweaters,Verde,S,Nike,Hombre,Mezcla
371,Zapatillas Clásica,10,8557.35,Zapatillas,Rojo,S,Fila,Mujer,Cuero
372,Zapatillas Deportiva,133,9450.78,Zapatillas,Rojo,XXL,Nike,Unisex,Mezcla
373,Sweaters Premium,83,17623.41,Sweaters,Negro,XXL,Under Armour,Unisex,Algodón
374,Zapatillas Deportiva,78,12782.16,Zapatillas,Verde,XL,Under Armour,Mujer,Cuero
375,Pantalones Slim,125,3659.7,Pantalones,Rojo,XXL,Nike,Mujer,Algodón
376,Zapatillas Oversize,5,10280.73,Zapatillas,Negro,S,Nike,Unisex,Algodón
377,Camisas Oversize,53,7327.24,Camisas,Blanco,S,Nike,Hombre,Cuero
378,Camisas Premium,37,15448.45,Camisas,Negro,XXL,Reebok,Mujer,Algodón
379,Sweaters Oversize,138,8426.78,Sweaters,Blanco,M,Puma,Unisex,Mezcla
380,Zapatillas Slim,5,1798.91,Zapatillas,Gris,S,Adidas,Mujer,Algodón
381,Sweaters Oversize,184,19426.56,Sweaters,Rojo,S,Reebok,Hombre,Poliéster
382,Camisas Deportiva,96,6056.33,Camisas,Blanco,M,Fila,Hombre,Poliéster
383,Sweaters Clásica,90,2158.95,Sweaters,Blanco,XL,Reebok,Unisex,Lana
384,Remeras Oversize,54,16154.16,Remeras,Amarillo,M,Reebok,Mujer,Cuero
385,Camisas Deportiva,123,942.64,Camisas,Amarillo,XL,Under Armour,Mujer,Poliéster
386,Buzos Slim,29,19391.13,Buzos,Rojo,XL,Nike,Unisex,Cuero
387,Camisas Clásica,137,18579.22,Camisas,Negro,M,Puma,Mujer,Cuero
388,Zapatillas Slim,63,6932.54,Zapatillas,Amarillo,XL,Fila,Hombre,Algodón
389,Zapatillas Clásica,120,15857.26,Zapatillas,Verde,XL,Fila,Mujer,Cuero
390,Buzos Oversize,43,3402.34,Buzos,Azul,XXL,Adidas,Hombre,Algodón
391,Remeras Slim,128,11470.08,Remeras,Rojo,S,Nike,Hombre,Algodón
392,Remeras Clásica,122,6866.93,Remeras,Amarillo,XL,Adidas,Mujer,Mezcla
393,Pantalones Clásica,74,6984.17,Pantalones,Blanco,XXL,Reebok,Hombre,Mezcla
394,Remeras Deportiva,193,4037.44,Remeras,Azul,S,Adidas,Mujer,Cuero
395,Sweaters Deportiva,166,4956.68,Sweaters,Amarillo,M,Adidas,Hombre,Poliéster
396,Camisas Clásica,36,14381.44,Camisas,Gris,M,Puma,Unisex,Poliéster
397,Zapatillas Deportiva,140,7480.82,Zapatillas,Rojo,M,Puma,Unisex,Mezcla
398,Pantalones Premium,132,10502.86,Pantalones,Blanco,XL,Puma,Unisex,Cuero
399,Pantalones Slim,184,8783.19,Pantalones,Azul,S,Reebok,Unisex,Algodón
400,Camisas Slim,133,1077.74,Camisas,Gris,S,Adidas,Unisex,Poliéster
401,Sweaters Clásica,41,9911.78,Sweaters,Amarillo,XXL,Under Armour,Unisex,Lana
402,Zapatillas Deportiva,78,6344.4,Zapatillas,Amarillo,M,Fila,Unisex,Algodón
403,Zapatillas Premium,11,15160.43,Zapatillas,Negro,XXL,Puma,Mujer,Mezcla
404,Buzos Slim,49,7698.33,Buzos,Negro,XXL,Nike,Hombre,Algodón
405,Sweaters Clásica,182,15419.12,Sweaters,Verde,M,Nike,Unisex,Lana
406,Zapatillas Deportiva,14,12412.3,Zapatillas,Amarillo,L,Puma,Mujer,Lana
407,Buzos Slim,50,2181.43,Buzos,Negro,M,Nike,Mujer,Algodón
408,Camisas Slim,104,11238.01,Camisas,Amarillo,M,Nike,Hombre,Cuero
409,Buzos Slim,197,3154.79,Buzos,Verde,XL,Fila,Hombre,Lana
410,Camisas Oversize,4,12660.01,Camisas,Azul,M,Under Armour,Mujer,Cuero
411,Sweaters Clásica,152,9959.09,Sweaters,Amarillo,M,Fila,Mujer,Poliéster
412,Zapatillas Oversize,151,19372.82,Zapatillas,Gris,XXL,Adidas,Hombre,Poliéster
413,Camisas Deportiva,43,17063.93,Camisas,Rojo,M,Puma,Mujer,Poliéster
414,Pantalones Oversize,100,1983.03,Pantalones,Negro,M,Under Armour,Unisex,Algodón
415,Zapatillas Premium,92,4286.36,Zapatillas,Gris,XXL,Fila,Unisex,Mezcla
416,Pantalones Oversize,125,2087.23,Pantalones,Amarillo,XL,Nike,Unisex,Mezcla
417,Sweaters Oversize,115,10248.31,Sweaters,Gris,L,Nike,Mujer,Cuero
418,Sweaters Premium,132,11373.39,Sweaters,Azul,M,Adidas,Unisex,Algodón
419,Remeras Oversize,185,8974.63,Remeras,Azul,L,Nike,Unisex,Cuero
420,Buzos Premium,40,5959.69,Buzos,Negro,L,Under Armour,Unisex,Lana
421,Zapatillas Premium,168,19662.68,Zapatillas,Gris,XL,Adidas,Unisex,Cuero
422,Camisas Deportiva,193,9348.65,Camisas,Amarillo,XXL,Nike,Unisex,Lana
423,Buzos Slim,45,19238.32,Buzos,Verde,M,Nike,Hombre,Mezcla
424,Camisas Deportiva,147,8370.89,Camisas,Gris,S,Reebok,Unisex,Cuero
425,Camisas Clásica,129,5617.72,Camisas,Negro,XL,Adidas,Mujer,Algodón
426,Zapatillas Slim,21,8094.87,Zapatillas,Negro,XL,Nike,Unisex,Mezcla
427,Remeras Slim,187,11301.83,Remeras,Blanco,XXL,Adidas,Mujer,Algodón
428,Camisas Oversize,85,2891.7,Camisas,Amarillo,XXL,Reebok,Unisex,Lana
429,Sweaters Deportiva,76,14352.84,Sweaters,Azul,XL,Fila,Unisex,Lana
430,Buzos Slim,41,15312.17,Buzos,Blanco,M,Adidas,Mujer,Algodón
431,Pantalones Oversize,66,9926.08,Pantalones,Azul,L,Fila,Hombre,Poliéster
432,Sweaters Clásica,188,2689.87,Sweaters,Rojo,XXL,Fila,Mujer,Algodón
433,Buzos Deportiva,58,12784.05,Buzos,Blanco,XXL,Reebok,Mujer,Cuero
434,Camisas Oversize,7,6274.31,Camisas,Negro,S,Puma,Mujer,Poliéster
435,Zapatillas Deportiva,107,16206.11,Zapatillas,Azul,XL,Reebok,Mujer,Algodón
436,Buzos Clásica,91,17786.71,Buzos,Rojo,S,Reebok,Hombre,Lana
437,Buzos Deportiva,195,3691.08,Buzos,Gris,XXL,Nike,Mujer,Mezcla
438,Pantalones Oversize,174,13139.69,Pantalones,Verde,XL,Reebok,Mujer,Algodón
439,Camisas Deportiva,40,4736.48,Camisas,Verde,XL,Under Armour,Mujer,Cuero
440,Remeras Oversize,124,9097.29,Remeras,Rojo,S,Fila,Hombre,Mezcla
441,Buzos Deportiva,167,839.48,Buzos,Negro,S,Reebok,Unisex,Algodón
442,Pantalones Premium,168,8457.96,Pantalones,Gris,M,Nike,Unisex,Algodón
443,Buzos Deportiva,22,12064.13,Buzos,Blanco,XL,Puma,Mujer,Cuero
444,Remeras Oversize,178,12678.16,Remeras,Blanco,L,Puma,Unisex,Poliéster
445,Zapatillas Premium,188,14377.98,Zapatillas,Amarillo,M,Adidas,Unisex,Lana
446,Sweaters Clásica,79,9339.41,Sweaters,Amarillo,S,Fila,Unisex,Lana
447,Pantalones Oversize,105,16247.38,Pantalones,Gris,XL,Puma,Unisex,Poliéster
448,Buzos Deportiva,72,1000.04,Buzos,Rojo,XXL,Under Armour,Mujer,Lana
449,Camisas Premium,35,2416.67,Camisas,Azul,XL,Nike,Unisex,Mezcla
450,Remeras Slim,139,4071.72,Remeras,Gris,XL,Puma,Unisex,Cuero
451,Sweaters Oversize,34,19589.1,Sweaters,Rojo,S,Adidas,Unisex,Poliéster
452,Sweaters Deportiva,113,17690.34,Sweaters,Negro,XL,Adidas,Unisex,Cuero
453,Zapatillas Clásica,137,19179.34,Zapatillas,Rojo,M,Puma,Unisex,Lana
454,Camisas Premium,113,10710.04,Camisas,Azul,XL,Under Armour,Mujer,Poliéster
455,Camisas Deportiva,100,3089.3,Camisas,Negro,L,Adidas,Mujer,Algodón
456,Pantalones Clásica,36,3351.66,Pantalones,Negro,S,Nike,Hombre,Mezcla
457,Zapatillas Slim,175,15987.55,Zapatillas,Verde,S,Adidas,Unisex,Cuero
458,Remeras Premium,10,16197.17,Remeras,Amarillo,XXL,Reebok,Unisex,Cuero
459,Camisas Deportiva,66,13743.02,Camisas,Rojo,XL,Fila,Unisex,Mezcla
460,Zapatillas Deportiva,46,19080.96,Zapatillas,Negro,M,Reebok,Mujer,Mezcla
461,Zapatillas Oversize,151,1121.04,Zapatillas,Rojo,L,Reebok,Mujer,Mezcla
462,Buzos Deportiva,115,12094.21,Buzos,Azul,M,Nike,Mujer,Mezcla
463,Zapatillas Deportiva,123,9109.18,Zapatillas,Verde,L,Under Armour,Unisex,Cuero
464,Pantalones Premium,91,6902.07,Pantalones,Amarillo,L,Reebok,Unisex,Cuero
465,Buzos Clásica,120,14545.88,Buzos,Negro,M,Puma,Hombre,Lana
466,Buzos Slim,167,10671.46,Buzos,Azul,S,Reebok,Hombre,Cuero
467,Zapatillas Slim,19,1730.89,Zapatillas,Blanco,XXL,Nike,Unisex,Mezcla
468,Pantalones Oversize,193,9623.98,Pantalones,Amarillo,M,Adidas,Mujer,Poliéster
469,Pantalones Deportiva,156,13635.33,Pantalones,Azul,XL,Fila,Hombre,Cuero
470,Camisas Oversize,164,14083.76,Camisas,Gris,XXL,Fila,Hombre,Poliéster
471,Sweaters Clásica,71,7052.43,Sweaters,Amarillo,L,Nike,Hombre,Lana
472,Zapatillas Premium,164,6561.87,Zapatillas,Azul,M,Reebok,Unisex,Poliéster
473,Zapatillas Slim,11,15084.02,Zapatillas,Gris,XL,Puma,Unisex,Cuero
474,Camisas Premium,90,19805.26,Camisas,Azul,XXL,Under Armour,Mujer,Lana
475,Zapatillas Oversize,28,9194.24,Zapatillas,Azul,L,Adidas,Hombre,Poliéster
476,Remeras Deportiva,63,19168.86,Remeras,Azul,XXL,Under Armour,Unisex,Lana
477,Buzos Premium,45,4110.41,Buzos,Azul,XXL,Fila,Mujer,Algodón
478,Buzos Deportiva,95,16717.08,Buzos,Blanco,S,Under Armour,Mujer,Poliéster
479,Zapatillas Premium,80,6261.16,Zapatillas,Azul,M,Fila,Hombre,Mezcla
480,Sweaters Slim,4,2393.82,Sweaters,Gris,M,Nike,Unisex,Poliéster
481,Zapatillas Slim,27,7151.39,Zapatillas,Gris,S,Reebok,Hombre,Lana
482,Sweaters Oversize,117,864.6,Sweaters,Amarillo,XXL,Nike,Unisex,Poliéster
483,Zapatillas Oversize,60,16315.64,Zapatillas,Rojo,XXL,Reebok,Hombre,Cuero
484,Remeras Oversize,170,7613.97,Remeras,Rojo,M,Adidas,Hombre,Cuero
485,Pantalones Oversize,124,14370.03,Pantalones,Azul,L,Reebok,Mujer,Algodón
486,Remeras Clásica,182,15083.11,Remeras,Azul,L,Under Armour,Mujer,Poliéster
487,Zapatillas Slim,107,14787.19,Zapatillas,Negro,M,Puma,Mujer,Algodón
488,Buzos Clásica,4,13063.63,Buzos,Azul,XXL,Fila,Mujer,Mezcla
489,Remeras Oversize,128,2418.56,Remeras,Rojo,XL,Nike,Hombre,Lana
490,Remeras Deportiva,176,6242.11,Remeras,Negro,XXL,Puma,Unisex,Algodón
491,Buzos Deportiva,156,2209.46,Buzos,Blanco,L,Nike,Hombre,Poliéster
492,Buzos Deportiva,130,4271.11,Buzos,Gris,XXL,Puma,Unisex,Lana
493,Sweaters Slim,93,6489.24,Sweaters,Amarillo,XXL,Nike,Hombre,Lana
494,Pantalones Deportiva,119,11920.59,Pantalones,Negro,S,Fila,Hombre,Mezcla
495,Sweaters Slim,25,11936.94,Sweaters,Rojo,XL,Reebok,Unisex,Lana
496,Zapatillas Oversize,63,15044.31,Zapatillas,Azul,L,Nike,Mujer,Cuero
497,Buzos Slim,197,532.49,Buzos,Azul,XL,Puma,Unisex,Poliéster
498,Sweaters Deportiva,184,9825.16,Sweaters,Amarillo,XL,Fila,Mujer,Cuero
499,Zapatillas Oversize,82,12774.73,Zapatillas,Gris,XXL,Reebok,Hombre,Cuero
500,Buzos Slim,100,8925.93,Buzos,Rojo,S,Nike,Unisex,Algodón
