id,descripcion,categoria,talle,cantidad,precio
553,Remera Estampada,Remeras,XXL,84,11921.75
554,Campera de Cuero,Camperas,XXL,156,42497.59
555,Cardigan Tejido,Buzos,M,140,31009.59
556,Ojotas,Calzado,M,128,53881.48
557,Top Deportivo,Remeras,M,107,12333.83
558,Botas de Cuero,Calzado,XXL,107,70703.8
559,Gafas de Sol,Accesorios,XXXL,126,12081.11
560,Riñonera,Accesorios,XS,121,13612.43
561,Top Deportivo,Remeras,XS,133,8221.88
562,Pantalón Cargo,Pantalones,S,112,22929.2
563,Campera Inflable,Camperas,S,25,44072.64
564,Ojotas,Calzado,S,70,59316.44
565,Remera Básica,Remeras,XXXL,38,7427.79
566,Buzo Canguro,Buzos,S,66,22941.97
567,Short Deportivo,Pantalones,XXL,56,15891.98
568,Hoodie Oversize,Buzos,XXL,128,23574.03
569,Gorra,Accesorios,S,147,11644.71
570,Pantalón Jogger,Pantalones,XL,156,15615.46
571,Remera Estampada,Remeras,XXL,120,14216.18
572,Hoodie Oversize,Buzos,XL,88,16333.7
573,Buzo Canguro,Buzos,XXL,126,15679.92
574,Campera Inflable,Camperas,S,132,25554.94
575,Top Deportivo,Remeras,S,1,11178.49
576,Gafas de Sol,Accesorios,M,25,8383.53
577,Top Deportivo,Remeras,XXL,107,14320.54
578,Botas de Cuero,Calzado,S,163,77209.08
579,Short Deportivo,Pantalones,S,58,14147.28
580,Jean Mom,Pantalones,XS,144,12036.05
581,Musculosa,Remeras,XS,8,14192.42
582,Cinturón,Accesorios,S,179,11965.41
583,Sandalias,Calzado,XXXL,29,54529.31
584,Puffer,Camperas,S,50,66695.96
585,Sweater de Lana,Buzos,XL,56,26313.17
586,Rompeviento,Camperas,XL,179,57167.62
587,Riñonera,Accesorios,XS,183,4825.87
588,Cardigan Tejido,Buzos,XS,8,33930.52
589,Musculosa,Remeras,M,119,12991.49
590,Sweater de Lana,Buzos,L,17,16008.9
591,Gafas de Sol,Accesorios,XXL,154,9858.36
592,Gorra,Accesorios,XL,142,3478.08
593,Zapatillas Running,Calzado,L,29,46099.55
594,Gorra,Accesorios,L,160,9455.51
595,Cardigan Tejido,Buzos,S,179,33705.49
596,Gafas de Sol,Accesorios,L,106,5121.42
597,Botas de Cuero,Calzado,XL,32,50683.28
598,Buzo Canguro,Buzos,L,119,16962.06
599,Remera Oversize,Remeras,XS,182,14720.93
600,Zapatillas Urbanas,Calzado,XXXL,147,33887.07
601,Riñonera,Accesorios,XXL,116,8576.3
602,Remera Oversize,Remeras,M,129,10748.79
603,Jean Mom,Pantalones,XS,154,13133.2
604,Sweater de Lana,Buzos,XXXL,118,32302.24
605,Gafas de Sol,Accesorios,XL,150,6372.27
606,Riñonera,Accesorios,XL,40,9741.51
607,Buzo Frisa,Buzos,XS,136,15542.96
608,Campera Inflable,Camperas,L,140,32828.43
609,Campera de Cuero,Camperas,XL,30,40631.73
610,Top Deportivo,Remeras,M,58,9847.7
611,Campera Inflable,Camperas,S,106,38171.17
612,Cardigan Tejido,Buzos,XL,51,34100.99
613,Puffer,Camperas,XS,23,27892.7
614,Botas de Cuero,Calzado,XS,123,55796.52
615,Remera Oversize,Remeras,XXL,179,6476.68
616,Jean Skinny,Pantalones,XXXL,107,26683.88
617,Puffer,Camperas,XL,27,61043.55
618,Cinturón,Accesorios,XS,105,11813.42
619,Buzo Frisa,Buzos,S,154,21212.62
620,Sweater de Lana,Buzos,S,137,29236.75
621,Musculosa,Remeras,L,121,12295.32
622,Buzo Canguro,Buzos,S,77,25074.66
623,Campera Inflable,Camperas,M,38,30176.08
624,Cinturón,Accesorios,M,90,6248.02
625,Gorra,Accesorios,S,77,10877.98
626,Pantalón Cargo,Pantalones,XL,104,24449.6
627,Cardigan Tejido,Buzos,XL,196,21009.74
628,Cardigan Tejido,Buzos,XXL,78,24120.81
629,Rompeviento,Camperas,XXXL,31,27229.53
630,Riñonera,Accesorios,XS,128,14755.59
631,Puffer,Camperas,L,90,56329.99
632,Gorra,Accesorios,S,176,8814.53
633,Jean Mom,Pantalones,L,64,18740.61
634,Botas de Cuero,Calzado,S,37,51307.06
635,Pantalón Jogger,Pantalones,L,166,23836.62
636,Campera Inflable,Camperas,M,196,25484.39
637,Campera Inflable,Camperas,M,160,44204.1
638,Campera de Cuero,Camperas,L,20,53568.77
639,Remera Básica,Remeras,XXL,57,8956.28
640,Remera Oversize,Remeras,M,179,14523.56
641,Puffer,Camperas,L,16,42538.14
642,Sweater de Lana,Buzos,XXXL,40,31814.93
643,Campera Jean,Camperas,XS,113,61582.32
644,Cardigan Tejido,Buzos,S,10,16812.05
645,Remera Estampada,Remeras,XXXL,82,11115.67
646,Buzo Frisa,Buzos,XXL,131,27572.17
647,Cardigan Tejido,Buzos,L,41,32763.73
648,Zapatillas Running,Calzado,L,150,22388.98
649,Remera Básica,Remeras,XS,89,13092.0
650,Musculosa,Remeras,M,200,10673.37
651,Zapatillas Running,Calzado,L,126,78039.07
652,Top Deportivo,Remeras,S,101,10090.34
653,Gafas de Sol,Accesorios,XL,128,13036.96
654,Ojotas,Calzado,XXL,47,33005.78
655,Rompeviento,Camperas,XL,14,67192.07
656,Short Deportivo,Pantalones,XS,163,23919.29
657,Gorra,Accesorios,XXL,24,11262.64
658,Bufanda,Accesorios,S,192,13598.38
659,Top Deportivo,Remeras,XXL,23,10843.51
660,Pantalón Jogger,Pantalones,S,28,16607.23
661,Botas de Cuero,Calzado,L,190,55570.37
662,Bufanda,Accesorios,XS,126,12950.27
663,Campera Inflable,Camperas,XXXL,182,48741.82
664,Gafas de Sol,Accesorios,XS,46,8912.64
665,Buzo Canguro,Buzos,S,195,22823.97
666,Remera Estampada,Remeras,M,108,7989.84
667,Jean Mom,Pantalones,XS,195,12968.09
668,Campera Jean,Camperas,XS,35,52108.15
669,Jean Mom,Pantalones,L,16,28558.4
670,Buzo Frisa,Buzos,XS,105,26190.26
671,Gorra,Accesorios,XL,43,11192.06
672,Jean Skinny,Pantalones,L,128,19744.38
673,Short Deportivo,Pantalones,M,43,21628.0
674,Campera Inflable,Camperas,M,177,55251.17
675,Sweater de Lana,Buzos,XXXL,50,18933.46
676,Pantalón Jogger,Pantalones,M,72,20834.38
677,Remera Básica,Remeras,M,169,9590.92
678,Remera Oversize,Remeras,XL,180,6214.73
679,Buzo Canguro,Buzos,L,48,32309.76
680,Cinturón,Accesorios,M,109,3221.67
681,Puffer,Camperas,L,59,66322.59
682,Riñonera,Accesorios,S,24,8877.69
683,Bufanda,Accesorios,L,182,10113.89
684,Remera Estampada,Remeras,L,94,14809.18
685,Jean Mom,Pantalones,XS,118,23816.68
686,Remera Básica,Remeras,XXXL,139,13581.1
687,Sweater de Lana,Buzos,XS,44,20100.69
688,Buzo Canguro,Buzos,XXL,138,21734.5
689,Pantalón Jogger,Pantalones,XXXL,80,21551.23
690,Bufanda,Accesorios,XXXL,97,14304.05
691,Campera Inflable,Camperas,S,159,63320.72
692,Jean Skinny,Pantalones,XXL,132,28305.17
693,Sweater de Lana,Buzos,M,102,23332.58
694,Jean Skinny,Pantalones,XXXL,63,25712.72
695,Remera Básica,Remeras,XS,108,9732.57
696,Remera Estampada,Remeras,S,21,9705.88
697,Hoodie Oversize,Buzos,XL,69,32701.5
698,Campera de Cuero,Camperas,XS,161,49463.55
699,Cinturón,Accesorios,S,4,14403.69
700,Campera Jean,Camperas,M,67,62097.18
701,Musculosa,Remeras,L,160,8565.7
702,Zapatillas Running,Calzado,L,131,66854.51
703,Jean Mom,Pantalones,M,56,18443.39
704,Remera Básica,Remeras,XS,162,10578.59
705,Cinturón,Accesorios,XL,49,14348.21
706,Sandalias,Calzado,S,55,56768.73
707,Gorra,Accesorios,L,20,12241.89
708,Zapatillas Running,Calzado,L,81,54961.99
709,Remera Oversize,Remeras,L,77,6712.33
710,Sandalias,Calzado,S,55,68632.71
711,Buzo Canguro,Buzos,XXXL,46,33733.96
712,Sweater de Lana,Buzos,XXL,17,23100.71
713,Zapatillas Urbanas,Calzado,M,115,73182.21
714,Campera Inflable,Camperas,S,198,41653.22
715,Ojotas,Calzado,M,153,67806.17
716,Pantalón Cargo,Pantalones,XS,187,29276.63
717,Musculosa,Remeras,XL,183,12321.88
718,Campera Jean,Camperas,XS,5,67650.53
719,Buzo Canguro,Buzos,S,14,26891.05
720,Campera Inflable,Camperas,M,162,35596.24
721,Pantalón Jogger,Pantalones,L,172,12593.63
722,Musculosa,Remeras,L,132,7671.3
723,Pantalón Cargo,Pantalones,L,59,26713.49
724,Remera Oversize,Remeras,XL,33,11048.4
725,Pantalón Jogger,Pantalones,XL,87,29343.43
726,Gafas de Sol,Accesorios,XS,76,7009.86
727,Sandalias,Calzado,M,122,34278.34
728,Remera Estampada,Remeras,XXL,77,9828.69
729,Jean Skinny,Pantalones,XXXL,122,20484.3
730,Sweater de Lana,Buzos,M,52,30180.72
731,Bufanda,Accesorios,S,116,14309.26
732,Buzo Canguro,Buzos,XL,75,22119.73
733,Bufanda,Accesorios,S,199,6678.49
734,Hoodie Oversize,Buzos,XXL,163,29779.02
735,Campera de Cuero,Camperas,XXXL,36,38854.77
736,Remera Básica,Remeras,S,11,14715.59
737,Top Deportivo,Remeras,S,80,9484.25
738,Riñonera,Accesorios,M,60,4801.43
739,Pantalón Jogger,Pantalones,XS,163,24382.73
740,Sandalias,Calzado,S,130,59062.15
741,Campera Jean,Camperas,XS,192,44460.17
742,Top Deportivo,Remeras,XXL,184,11523.91
743,Bufanda,Accesorios,S,1,6620.83
744,Jean Mom,Pantalones,S,131,20111.65
745,Sweater de Lana,Buzos,XL,97,23552.24
746,Pantalón Cargo,Pantalones,S,14,23656.96
747,Bufanda,Accesorios,L,38,4242.19
748,Buzo Frisa,Buzos,L,22,17809.2
749,Remera Básica,Remeras,XS,195,14954.33
750,Sandalias,Calzado,M,62,43424.2
751,Sandalias,Calzado,XXL,31,53314.93
752,Sandalias,Calzado,S,118,30361.31
753,Jean Mom,Pantalones,XXXL,149,20639.0
754,Campera Jean,Camperas,XXXL,164,64938.22
755,Rompeviento,Camperas,M,49,56470.19
756,Sandalias,Calzado,XS,194,69055.51
757,Hoodie Oversize,Buzos,M,183,15982.72
758,Zapatillas Running,Calzado,XXL,95,36821.35
759,Remera Estampada,Remeras,XL,163,8495.05
760,Short Deportivo,Pantalones,XL,138,19426.42
761,Gafas de Sol,Accesorios,XXXL,22,5042.04
762,Zapatillas Running,Calzado,L,42,58362.25
763,Remera Básica,Remeras,S,179,7427.64
764,Zapatillas Running,Calzado,XL,118,46543.17
765,Puffer,Camperas,M,185,39449.74
766,Jean Skinny,Pantalones,XL,71,14672.83
767,Cardigan Tejido,Buzos,XS,108,30675.9
768,Remera Estampada,Remeras,XXL,163,12471.86
769,Campera Inflable,Camperas,L,151,55235.7
770,Bufanda,Accesorios,L,14,5591.53
771,Bufanda,Accesorios,M,110,11112.2
772,Pantalón Jogger,Pantalones,XS,62,15930.95
773,Buzo Canguro,Buzos,XXL,90,22130.74
774,Ojotas,Calzado,S,2,63928.87
775,Rompeviento,Camperas,XL,171,61083.8
776,Buzo Frisa,Buzos,XS,153,18945.54
777,Pantalón Cargo,Pantalones,XS,66,25844.62
778,Rompeviento,Camperas,L,128,26640.4
779,Remera Estampada,Remeras,M,108,12388.57
780,Gafas de Sol,Accesorios,XS,98,14796.92
781,Ojotas,Calzado,S,171,50320.33
782,Sandalias,Calzado,XXL,17,51824.38
783,Remera Oversize,Remeras,S,91,9395.53
784,Musculosa,Remeras,XXXL,37,8819.58
785,Cinturón,Accesorios,XXL,76,4602.69
786,Sweater de Lana,Buzos,M,66,32453.03
787,Sweater de Lana,Buzos,XS,158,21699.03
788,Remera Oversize,Remeras,XS,40,12100.67
789,Buzo Frisa,Buzos,XXXL,98,25360.92
790,Zapatillas Running,Calzado,L,21,49976.16
791,Pantalón Cargo,Pantalones,XL,147,20931.0
792,Musculosa,Remeras,XXL,77,6922.09
793,Zapatillas Urbanas,Calzado,M,101,51295.75
794,Campera Jean,Camperas,M,64,60558.28
795,Puffer,Camperas,XXL,138,63439.93
796,Cardigan Tejido,Buzos,S,3,29582.09
797,Campera Jean,Camperas,L,173,32064.48
798,Short Deportivo,Pantalones,S,34,27402.38
799,Hoodie Oversize,Buzos,XXL,151,28596.29
800,Rompeviento,Camperas,S,173,56583.36
801,Jean Skinny,Pantalones,M,114,27763.7
802,Campera de Cuero,Camperas,M,89,57620.08
803,Rompeviento,Camperas,XXXL,122,33709.23
804,Campera de Cuero,Camperas,XXXL,77,27119.19
805,Cinturón,Accesorios,XL,24,6880.63
806,Buzo Canguro,Buzos,XXXL,137,18294.36
807,Pantalón Cargo,Pantalones,XS,148,22817.1
808,Gorra,Accesorios,M,132,7039.84
809,Rompeviento,Camperas,M,79,39303.88
810,Sandalias,Calzado,S,27,77624.86
811,Gafas de Sol,Accesorios,S,93,11314.53
812,Short Deportivo,Pantalones,L,118,24649.53
813,Botas de Cuero,Calzado,XL,122,23333.26
814,Gorra,Accesorios,XL,89,10892.73
815,Jean Skinny,Pantalones,M,147,19894.98
816,Zapatillas Urbanas,Calzado,XXL,64,67484.82
817,Campera de Cuero,Camperas,XXXL,7,40878.31
818,Campera de Cuero,Camperas,S,60,41041.35
819,Campera Jean,Camperas,XXXL,31,41675.53
820,Zapatillas Running,Calzado,M,196,30488.87
821,Rompeviento,Camperas,XL,177,38973.26
822,Remera Oversize,Remeras,XS,14,8443.44
823,Remera Estampada,Remeras,S,180,9075.47
824,Pantalón Jogger,Pantalones,XXL,85,28822.48
825,Campera Inflable,Camperas,XXL,4,61301.88
826,Zapatillas Urbanas,Calzado,M,60,52487.02
827,Botas de Cuero,Calzado,XXXL,129,24803.8
828,Campera Jean,Camperas,XXXL,192,48945.67
829,Campera Inflable,Camperas,S,89,31683.26
830,Campera Inflable,Camperas,M,191,36212.28
831,Buzo Frisa,Buzos,L,37,27755.41
832,Top Deportivo,Remeras,L,30,12153.47
833,Sweater de Lana,Buzos,XS,24,31254.22
834,Campera de Cuero,Camperas,XL,16,50674.2
835,Botas de Cuero,Calzado,XS,95,54140.01
836,Jean Mom,Pantalones,XXXL,58,23105.7
837,Riñonera,Accesorios,XL,80,10987.47
838,Bufanda,Accesorios,L,46,6591.48
839,Hoodie Oversize,Buzos,XXXL,152,34757.75
840,Ojotas,Calzado,XS,144,40536.83
841,Campera de Cuero,Camperas,M,134,55583.15
842,Remera Básica,Remeras,XXXL,89,11732.7
843,Campera de Cuero,Camperas,XS,187,63996.68
844,Puffer,Camperas,XXL,38,63459.82
845,Gorra,Accesorios,S,144,7880.66
846,Zapatillas Urbanas,Calzado,S,81,77589.32
847,Cinturón,Accesorios,XS,80,3228.71
848,Gorra,Accesorios,M,166,9628.55
849,Short Deportivo,Pantalones,XS,115,18213.37
850,Gafas de Sol,Accesorios,XXXL,51,4922.69
851,Puffer,Camperas,XXXL,111,47032.94
852,Buzo Canguro,Buzos,XL,90,19584.35
853,Top Deportivo,Remeras,S,47,9995.13
854,Ojotas,Calzado,S,73,37092.62
855,Buzo Canguro,Buzos,XS,76,22592.49
856,Sandalias,Calzado,S,39,52110.09
857,Cinturón,Accesorios,XXXL,109,9124.64
858,Ojotas,Calzado,XXL,47,27065.17
859,Campera Inflable,Camperas,XL,25,62210.7
860,Sweater de Lana,Buzos,L,53,22672.35
861,Buzo Frisa,Buzos,XS,94,19522.82
862,Gafas de Sol,Accesorios,S,149,3849.78
863,Botas de Cuero,Calzado,L,26,30255.0
864,Riñonera,Accesorios,XXL,118,10440.49
865,Campera de Cuero,Camperas,XL,184,56390.69
866,Botas de Cuero,Calzado,L,158,76002.09
867,Ojotas,Calzado,XL,29,36669.53
868,Cardigan Tejido,Buzos,XS,44,29165.72
869,Zapatillas Running,Calzado,XXXL,152,46913.1
870,Pantalón Jogger,Pantalones,XXL,113,12937.76
871,Zapatillas Running,Calzado,M,75,40267.11
872,Ojotas,Calzado,XL,71,30197.77
873,Botas de Cuero,Calzado,S,94,47328.05
874,Pantalón Cargo,Pantalones,XL,128,20065.2
875,Pantalón Jogger,Pantalones,XL,81,13938.2
876,Puffer,Camperas,M,41,57230.46
877,Campera Inflable,Camperas,L,137,62701.93
878,Gafas de Sol,Accesorios,L,195,8388.34
879,Sandalias,Calzado,XL,99,61369.56
880,Musculosa,Remeras,XXXL,86,12324.58
881,Cardigan Tejido,Buzos,XL,127,21677.09
882,Zapatillas Running,Calzado,XL,115,64184.46
883,Remera Oversize,Remeras,L,151,13571.45
884,Riñonera,Accesorios,S,155,8722.5
885,Gafas de Sol,Accesorios,M,135,8910.96
886,Bufanda,Accesorios,XXL,102,11875.76
887,Remera Oversize,Remeras,M,1,9715.24
888,Jean Skinny,Pantalones,M,125,18887.5
889,Riñonera,Accesorios,L,113,5295.98
890,Rompeviento,Camperas,L,9,36404.41
891,Riñonera,Accesorios,XS,59,14962.64
892,Puffer,Camperas,XS,161,63173.37
893,Remera Estampada,Remeras,S,52,12673.24
894,Campera Jean,Camperas,XL,74,65319.95
895,Remera Básica,Remeras,S,177,7318.74
896,Top Deportivo,Remeras,XXL,24,12925.68
897,Top Deportivo,Remeras,L,11,6480.3
898,Campera Jean,Camperas,M,58,66377.2
899,Top Deportivo,Remeras,M,134,13418.24
900,Top Deportivo,Remeras,XS,155,13234.77
901,Rompeviento,Camperas,S,168,49192.59
902,Botas de Cuero,Calzado,S,139,78773.89
903,Rompeviento,Camperas,XS,66,36011.33
904,Hoodie Oversize,Buzos,XL,192,29187.04
905,Buzo Frisa,Buzos,XS,159,16003.84
906,Gorra,Accesorios,S,124,13580.19
907,Rompeviento,Camperas,M,167,60514.98
908,Buzo Canguro,Buzos,L,148,28586.08
909,Jean Mom,Pantalones,S,41,26617.2
910,Zapatillas Urbanas,Calzado,XXL,41,52592.39
911,Campera Jean,Camperas,XL,173,44802.2
912,Top Deportivo,Remeras,XXXL,44,9334.08
913,Sandalias,Calzado,M,34,58399.43
914,Riñonera,Accesorios,XS,181,13620.81
915,Campera de Cuero,Camperas,M,170,53002.25
916,Campera Inflable,Camperas,L,56,41198.21
917,Puffer,Camperas,M,68,53514.13
918,Jean Mom,Pantalones,XL,56,24673.28
919,Puffer,Camperas,XXL,111,30907.93
920,Remera Básica,Remeras,M,86,7528.88
921,Bufanda,Accesorios,XXXL,96,5671.38
922,Hoodie Oversize,Buzos,XXXL,8,29334.57
923,Jean Skinny,Pantalones,M,53,27616.75
924,Campera Inflable,Camperas,XS,111,36411.22
925,Remera Estampada,Remeras,L,91,9164.41
926,Jean Mom,Pantalones,L,142,24172.44
927,Remera Básica,Remeras,XXL,68,9196.84
928,Botas de Cuero,Calzado,S,41,22162.55
929,Ojotas,Calzado,XL,107,33789.65
930,Top Deportivo,Remeras,S,172,13402.02
931,Zapatillas Urbanas,Calzado,XL,97,34174.22
932,Riñonera,Accesorios,L,129,4089.65
933,Gafas de Sol,Accesorios,XL,119,9921.26
934,Buzo Frisa,Buzos,XL,10,20395.84
935,Remera Oversize,Remeras,L,122,7972.72
936,Bufanda,Accesorios,XXXL,118,9408.62
937,Musculosa,Remeras,M,4,10425.23
938,Hoodie Oversize,Buzos,L,136,31429.31
939,Cardigan Tejido,Buzos,XL,101,15214.61
940,Jean Skinny,Pantalones,XXXL,109,15373.39
941,Hoodie Oversize,Buzos,XL,26,33458.97
942,Remera Oversize,Remeras,M,16,9482.24
943,Zapatillas Running,Calzado,XXL,10,33670.18
944,Botas de Cuero,Calzado,XL,69,68231.4
945,Botas de Cuero,Calzado,L,61,46806.04
946,Campera Jean,Camperas,XXL,88,54737.53
947,Remera Estampada,Remeras,XL,159,13245.51
948,Campera Jean,Camperas,XL,97,34604.91
949,Hoodie Oversize,Buzos,S,109,18092.01
950,Campera Jean,Camperas,XXL,193,26580.34
951,Gafas de Sol,Accesorios,M,169,11404.2
952,Pantalón Jogger,Pantalones,M,144,17159.36
953,Gorra,Accesorios,M,119,6021.14
954,Jean Mom,Pantalones,M,91,13216.13
955,Cinturón,Accesorios,XL,74,5692.76
956,Gorra,Accesorios,XXL,159,12125.07
957,Jean Mom,Pantalones,S,172,20026.79
958,Gafas de Sol,Accesorios,S,145,7305.98
959,Musculosa,Remeras,XXXL,145,11486.88
960,Cinturón,Accesorios,S,101,14796.38
961,Buzo Frisa,Buzos,L,12,28250.21
962,Pantalón Jogger,Pantalones,XXXL,45,16107.6
963,Campera Jean,Camperas,XS,8,26138.19
964,Rompeviento,Camperas,M,1,32311.98
965,Gorra,Accesorios,M,57,3580.16
966,Gorra,Accesorios,M,157,9052.39
967,Campera de Cuero,Camperas,XXXL,18,32145.88
968,Cinturón,Accesorios,XXXL,16,14719.6
969,Buzo Canguro,Buzos,L,72,15966.25
970,Top Deportivo,Remeras,XXXL,191,12198.72
971,Top Deportivo,Remeras,S,76,11595.34
972,Top Deportivo,Remeras,L,125,8967.42
973,Jean Mom,Pantalones,XL,53,25550.1
974,Remera Estampada,Remeras,L,1,13473.9
975,Riñonera,Accesorios,S,82,14578.1
976,Ojotas,Calzado,M,27,30022.67
977,Puffer,Camperas,XXXL,100,31104.3
978,Jean Mom,Pantalones,L,131,26126.93
979,Remera Oversize,Remeras,XL,2,13609.7
980,Sweater de Lana,Buzos,L,46,25068.41
981,Zapatillas Running,Calzado,XL,184,49626.04
982,Campera Jean,Camperas,XL,169,44454.72
983,Top Deportivo,Remeras,XS,189,10998.08
984,Jean Skinny,Pantalones,M,9,28436.43
985,Botas de Cuero,Calzado,XXL,161,70796.32
986,Gorra,Accesorios,L,92,13358.92
987,Puffer,Camperas,M,82,25741.26
988,Campera Jean,Camperas,S,123,58870.34
989,Zapatillas Urbanas,Calzado,S,21,24050.61
990,Pantalón Jogger,Pantalones,XL,3,25344.89
991,Remera Básica,Remeras,XXXL,97,13627.11
992,Pantalón Cargo,Pantalones,XL,116,26815.59
993,Pantalón Jogger,Pantalones,M,179,18912.04
994,Cardigan Tejido,Buzos,M,13,19584.23
995,Hoodie Oversize,Buzos,XL,108,15223.43
996,Top Deportivo,Remeras,XL,82,7676.7
997,Hoodie Oversize,Buzos,XL,53,34823.97
998,Botas de Cuero,Calzado,L,36,41307.29
999,Cinturón,Accesorios,XXL,198,5423.33
1000,Campera de Cuero,Camperas,M,50,42374.46
